sequence	VoyageID	Lat	LatType	Lon	LonType	Day	Month	Year	SpeciesName	Number_Whales	Vessel1	Vessel2	Ocean	Basin	DegLat	MinLat	NS	DegLong	MinLong	EW	PosType	Wording	Remarks
15743	AV05785	64.500	I	-83.900	I	18	8	1864	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Cape Fulerton	
15749	AV05785	64.500	I	-83.900	I	19	8	1864	Bowhead	2			Hudson Bay	eastern Arctic							I:I	Cape Fulerton	
14568	AV05785	62.680	I	-91.200	I	4	6	1865	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Off Marble Id.	These whales taken by Ansel Gibbs, Cornelius, Quay Tago and Glacier all working together as shares
14570	AV05785	62.680	I	-91.200	I	12	6	1865	Bowhead	2			Hudson Bay	eastern Arctic							I:I	Off Marble Id.	These whales taken by Ansel Gibbs, Cornelius, Quay Tago and Glacier all working together as shares
14575	AV05785	62.680	I	-91.200	I	13	6	1865	Bowhead	2			Hudson Bay	eastern Arctic							I:I	Off Marble Id.	These whales taken by Ansel Gibbs, Cornelius, Quay Tago and Glacier all working together as shares
14558	AV05785	62.680	I	-91.200	I	15	6	1865	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Off Marble Id.	These whales taken by Ansel Gibbs, Cornelius, Quay Tago and Glacier all working together as shares
14561	AV05785	62.680	I	-91.200	I	16	6	1865	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Off Marble Id.	These whales taken by Ansel Gibbs, Cornelius, Quay Tago and Glacier all working together as shares
14573	AV05785	62.680	I	-91.200	I	25	6	1865	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Off Marble Id.	These whales taken by Ansel Gibbs, Cornelius, Quay Tago and Glacier all working together as shares
14567	AV05785	62.680	I	-91.200	I	29	6	1865	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Off Marble Id.	These whales taken by Ansel Gibbs, Cornelius, Quay Tago and Glacier all working together as shares
15261	AV05785	64.500	I	-86.750	I	10	7	1865	Bowhead	1			Hudson Bay	eastern Arctic							I:I	Rowes Welcome	
